product_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,state,property_valuation,product_age,transaction_month,age_band
12,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,Male,9,Retail,Affluent Customer,N,No,22.0,NSW,1,13,9,young_adults
3,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Male,9,Retail,Affluent Customer,N,No,22.0,NSW,1,5,1,young_adults
61,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,Male,9,Retail,Affluent Customer,N,No,22.0,NSW,1,2,5,young_adults
77,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,Male,9,Retail,Affluent Customer,N,No,22.0,NSW,1,6,10,young_adults
88,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,19,8,old_adult
59,1.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,24,2,old_adult
98,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,13,2,old_adult
59,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,24,5,old_adult
73,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,15,5,old_adult
2,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,5,5,old_adult
71,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,Male,83,Financial Services,Mass Customer,N,No,16.0,NSW,10,22,2,old_adult
78,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,2,10,young
54,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,14,1,young
83,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,13,6,young
40,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,10,8,young
40,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,18,6,young
45,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,20,9,young
22,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,26,2,young
31,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,15,10,young
39,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,7,4,young
23,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,Female,29,Retail,Affluent Customer,N,Yes,2.0,NSW,7,6,5,young
25,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,11,3,old
60,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,5,5,old
53,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,26,12,old
90,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,15,2,old
16,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,8,11,old
68,1.0,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,25,12,old
29,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,23,4,old
45,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,Male,3,Property,Affluent Customer,N,Yes,16.0,NSW,10,11,2,old
22,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,Male,56,Health,Mass Customer,N,Yes,12.0,NSW,10,24,4,young_adults
69,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,Male,56,Health,Mass Customer,N,Yes,12.0,NSW,10,25,8,young_adults
16,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Male,56,Health,Mass Customer,N,Yes,12.0,NSW,10,21,2,young_adults
28,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,Male,56,Health,Mass Customer,N,Yes,12.0,NSW,10,23,7,young_adults
55,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,Male,56,Health,Mass Customer,N,Yes,12.0,NSW,10,26,5,young_adults
15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,8,7,young_adults
50,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,15,5,young_adults
0,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,13,7,young_adults
95,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,20,7,young_adults
30,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,23,7,young_adults
99,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,11,8,young_adults
14,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,22,10,young_adults
0,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,5,11,young_adults
0,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,12,4,young_adults
5,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,12,5,young_adults
96,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,Female,67,Manufacturing,High Net Worth,N,No,18.0,QLD,6,4,5,young_adults
67,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,Male,97,Financial Services,High Net Worth,N,Yes,6.0,QLD,4,26,8,old_adult
81,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,Male,97,Financial Services,High Net Worth,N,Yes,6.0,QLD,4,5,6,old_adult
21,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,Male,97,Financial Services,High Net Worth,N,Yes,6.0,QLD,4,12,4,old_adult
0,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Male,97,Financial Services,High Net Worth,N,Yes,6.0,QLD,4,10,2,old_adult
90,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,Male,97,Financial Services,High Net Worth,N,Yes,6.0,QLD,4,6,4,old_adult
12,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,13,8,old
14,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,14,1,old
78,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,13,11,old
84,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,13,3,old
53,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,20,12,old
8,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,6,3,old
98,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,13,10,old
99,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,23,12,old
4,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,12,10,old
19,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,Male,65,Entertainment,Mass Customer,N,No,12.0,QLD,8,8,3,old
5,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,Female,53,Retail,Mass Customer,N,No,16.0,NSW,8,6,1,young_adults
79,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,Female,53,Retail,Mass Customer,N,No,16.0,NSW,8,14,8,young_adults
18,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,Female,53,Retail,Mass Customer,N,No,16.0,NSW,8,4,6,young_adults
50,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,Female,53,Retail,Mass Customer,N,No,16.0,NSW,8,14,11,young_adults
6,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Female,53,Retail,Mass Customer,N,No,16.0,NSW,8,14,7,young_adults
89,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,Female,53,Retail,Mass Customer,N,No,16.0,NSW,8,24,1,young_adults
61,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,2,1,young_adults
21,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,1,2,young_adults
56,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,6,6,young_adults
86,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,18,7,young_adults
95,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,26,10,young_adults
42,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,14,4,young_adults
80,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,4,10,young_adults
67,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,1,9,young_adults
51,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,8,1,young_adults
99,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,23,10,young_adults
6,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Male,14,Retail,Affluent Customer,N,Yes,7.0,NSW,9,26,3,young_adults
35,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,23,2,old
40,1.0,Cancelled,OHM Cycles,Standard,high,medium,1458.17,874.9,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,11,10,old
67,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,12,1,old
5,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,6,1,old
98,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,13,2,old
11,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,10,4,old
14,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,14,4,old
16,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,23,6,old
25,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,1,2,old
44,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,Male,73,Retail,Mass Customer,N,No,8.0,NSW,11,6,3,old
16,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,23,9,young_adults
51,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,5,7,young_adults
10,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,3,3,young_adults
32,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,15,11,young_adults
84,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,13,6,young_adults
56,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,20,2,young_adults
66,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,7,7,young_adults
96,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,15,11,young_adults
57,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,Male,31,Health,Mass Customer,N,No,13.0,NSW,5,26,1,young_adults
12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,13,6,young_adults
38,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,14,9,young_adults
0,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,14,1,young_adults
22,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,24,6,young_adults
10,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,3,2,young_adults
33,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,18,1,young_adults
59,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,Female,62,Financial Services,High Net Worth,N,Yes,13.0,NSW,4,13,8,young_adults
3,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Male,56,Health,Mass Customer,N,Yes,12.0,VIC,8,14,10,young_adults
15,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,Male,56,Health,Mass Customer,N,Yes,12.0,VIC,8,6,4,young_adults
44,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,Male,56,Health,Mass Customer,N,Yes,12.0,VIC,8,6,12,young_adults
39,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,Male,56,Health,Mass Customer,N,Yes,12.0,VIC,8,7,11,young_adults
79,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,Male,56,Health,Mass Customer,N,Yes,12.0,VIC,8,10,8,young_adults
53,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,Male,56,Health,Mass Customer,N,Yes,12.0,VIC,8,7,10,young_adults
33,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,Male,89,Financial Services,Mass Customer,N,No,8.0,NSW,8,25,6,young_adults
58,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,Male,89,Financial Services,Mass Customer,N,No,8.0,NSW,8,2,5,young_adults
30,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,Male,89,Financial Services,Mass Customer,N,No,8.0,NSW,8,26,3,young_adults
48,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,Male,89,Financial Services,Mass Customer,N,No,8.0,NSW,8,3,5,young_adults
65,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,Male,89,Financial Services,Mass Customer,N,No,8.0,NSW,8,2,1,young_adults
54,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,8,4,old_adult
74,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,17,11,old_adult
43,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,18,2,old_adult
26,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,24,7,old_adult
80,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,20,4,old_adult
61,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,2,8,old_adult
59,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,24,2,old_adult
14,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,Female,66,Health,Mass Customer,N,No,19.0,VIC,8,14,8,old_adult
25,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Male,62,Financial Services,Mass Customer,N,Yes,16.0,NSW,2,15,1,old
30,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,Male,62,Financial Services,Mass Customer,N,Yes,16.0,NSW,2,18,8,old
69,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,Male,62,Financial Services,Mass Customer,N,Yes,16.0,NSW,2,6,1,old
95,1.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,Male,62,Financial Services,Mass Customer,N,Yes,16.0,NSW,2,13,8,old
77,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,Male,62,Financial Services,Mass Customer,N,Yes,16.0,NSW,2,14,9,old
6,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,Male,62,Financial Services,Mass Customer,N,Yes,16.0,NSW,2,13,11,old
27,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,Male,32,Property,Mass Customer,N,No,4.0,NSW,11,18,10,young_adults
59,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Male,32,Property,Mass Customer,N,No,4.0,NSW,11,24,6,young_adults
79,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,Male,32,Property,Mass Customer,N,No,4.0,NSW,11,14,6,young_adults
17,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,Male,32,Property,Mass Customer,N,No,4.0,NSW,11,21,6,young_adults
59,0.0,Approved,Solex,Standard,medium,large,1061.56,733.58,Male,32,Property,Mass Customer,N,No,4.0,NSW,11,24,11,young_adults
37,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Male,72,Financial Services,Mass Customer,N,No,22.0,QLD,4,18,6,old_adult
2,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,Male,72,Financial Services,Mass Customer,N,No,22.0,QLD,4,5,5,old_adult
1,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,Male,72,Financial Services,Mass Customer,N,No,22.0,QLD,4,1,5,old_adult
37,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,2,4,young_adults
1,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,17,5,young_adults
64,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,3,9,young_adults
16,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,20,5,young_adults
35,0.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,14,6,young_adults
77,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,23,10,young_adults
62,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,3,1,young_adults
58,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,Female,21,Manufacturing,Mass Customer,N,Yes,3.0,NSW,4,23,5,young_adults
82,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,1,10,young
11,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,7,3,young
34,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,13,1,young
0,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,14,4,young
72,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,2,12,young
38,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,5,7,young
14,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,22,12,young
67,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,Female,55,IT,High Net Worth,N,No,8.0,NSW,12,21,6,young
89,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,Female,83,other,Mass Customer,N,No,3.0,VIC,12,24,6,young_adults
74,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,Female,83,other,Mass Customer,N,No,3.0,VIC,12,17,1,young_adults
37,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Female,83,other,Mass Customer,N,No,3.0,VIC,12,18,12,young_adults
91,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,Female,83,other,Mass Customer,N,No,3.0,VIC,12,18,6,young_adults
7,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,Female,83,other,Mass Customer,N,No,3.0,VIC,12,13,10,young_adults
61,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,Female,83,other,Mass Customer,N,No,3.0,VIC,12,2,8,young_adults
51,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,Female,83,other,Mass Customer,N,No,3.0,VIC,12,5,11,young_adults
23,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,Female,83,other,Mass Customer,N,No,3.0,VIC,12,24,5,young_adults
64,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,Female,51,other,Affluent Customer,N,Yes,13.0,NSW,7,2,1,young_adults
37,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,Female,51,other,Affluent Customer,N,Yes,13.0,NSW,7,18,10,young_adults
8,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,Female,51,other,Affluent Customer,N,Yes,13.0,NSW,7,12,6,young_adults
36,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,Female,51,other,Affluent Customer,N,Yes,13.0,NSW,7,18,6,young_adults
48,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,Female,51,other,Affluent Customer,N,Yes,13.0,NSW,7,14,9,young_adults
64,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,Male,2,Health,Mass Customer,N,No,9.0,NSW,8,5,4,old_adult
67,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Male,2,Health,Mass Customer,N,No,9.0,NSW,8,12,2,old_adult
60,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,Male,2,Health,Mass Customer,N,No,9.0,NSW,8,6,3,old_adult
67,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,Male,2,Health,Mass Customer,N,No,9.0,NSW,8,12,4,old_adult
19,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,Female,20,Retail,High Net Worth,N,Yes,18.0,QLD,9,1,12,young_adults
53,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,Female,20,Retail,High Net Worth,N,Yes,18.0,QLD,9,10,5,young_adults
